,Name,Speed,Team
0,Eren Dinkçi,36.41,1. FC Heidenheim 1846
1,S. Katompa Mvumpa,36.15,VfB Stuttgart
2,M. Lacroix,36.13,VfL Wolfsburg
3,L. Maina,36.10,1. FC Köln
4,Loïs Openda,36.09,RB Leipzig
5,L. Kübler,36.08,Sport-Club Freiburg
6,S. Becker,36.07,1. FC Union Berlin
7,Alphonso Davies,36.02,FC Bayern München
8,Jeremie Frimpong,35.96,Bayer 04 Leverkusen
9,Josha Vagnoman,35.87,VfB Stuttgart
10,Leroy Sané,35.82,FC Bayern München
11,Jonathan Tah,35.81,Bayer 04 Leverkusen
12,Omar Marmoush,35.77,Eintracht Frankfurt
13,Justin Njinmah,35.53,SV Werder Bremen
14,Nathan Ngoumou,35.47,Borussia Mönchengladbach
15,B. Šeško,35.47,RB Leipzig
16,M. Beier,35.45,TSG Hoffenheim
17,M. Bülter,35.42,TSG Hoffenheim
18,Kingsley Coman,35.30,FC Bayern München
19,Mathys Tel,35.30,FC Bayern München
20,K. Fischer,35.28,VfL Wolfsburg
21,A. Knauff,35.22,Eintracht Frankfurt
22,Jamie Bynoe-Gittens,35.20,Borussia Dortmund
23,E. Can,35.15,Borussia Dortmund
24,Karim Adeyemi,35.09,Borussia Dortmund
25,Ian Maatsen,35.05,Borussia Dortmund
26,Jordy Makengo,35.05,Sport-Club Freiburg
27,Dayot Upamecano,35.02,FC Bayern München
28,I. Bebou,35.02,TSG Hoffenheim
29,J. Leweling,35.01,VfB Stuttgart
30,A. Sarr,34.97,VfL Wolfsburg
31,D. Selke,34.95,1. FC Köln
32,Odilon Kossounou,34.95,Bayer 04 Leverkusen
33,D. Raum,34.95,RB Leipzig
34,M. Röhl,34.90,Sport-Club Freiburg
35,Kevin Mbabu,34.89,FC Augsburg
36,T. Skarke,34.85,SV Darmstadt 98
37,D. Malen,34.83,Borussia Dortmund
38,Tiago Tomás,34.82,VfL Wolfsburg
39,Iago,34.82,FC Augsburg
40,D. Fofana,34.80,1. FC Union Berlin
41,Senne Lynen,34.78,SV Werder Bremen
42,S. van den Berg,34.78,1. FSV Mainz 05
43,D. Kohr,34.76,1. FSV Mainz 05
44,T. Oermann,34.75,VfL Bochum 1848
45,Lukas Klostermann,34.75,RB Leipzig
46,F. Agu,34.74,SV Werder Bremen
47,J. Diehl,34.74,1. FC Köln
48,Felix Nmecha,34.73,Borussia Dortmund
49,Aurélio Buta,34.68,Eintracht Frankfurt
50,T. Asano,34.62,VfL Bochum 1848
51,Florian Wirtz,34.61,Bayer 04 Leverkusen
52,Éric Dina Ebimbe,34.60,Eintracht Frankfurt
53,B. Hollerbach,34.60,1. FC Union Berlin
54,P. Osterhage,34.58,VfL Bochum 1848
55,F. Stojilkovic,34.56,SV Darmstadt 98
56,Ridle Baku,34.55,VfL Wolfsburg
57,H. Ekitiké,34.50,Eintracht Frankfurt
58,A. Adli,34.50,Bayer 04 Leverkusen
59,C. Antwi-Adjei,34.50,VfL Bochum 1848
60,K. Laimer,34.49,FC Bayern München
61,J. Föhrenbach,34.47,1. FC Heidenheim 1846
62,Chris Führich,34.45,VfB Stuttgart
63,Willian Pacho,34.44,Eintracht Frankfurt
64,T. Čvančara,34.43,Borussia Mönchengladbach
65,Mitchell Weiser,34.42,SV Werder Bremen
66,R. Massimo,34.42,VfB Stuttgart
67,P. Mwene,34.38,1. FSV Mainz 05
68,Mattias Svanberg,34.38,VfL Wolfsburg
69,Kevin Sessa,34.38,1. FC Heidenheim 1846
70,W. Jeong,34.36,VfB Stuttgart
71,Piero Hincapie,34.36,Bayer 04 Leverkusen
72,Y. Vertessen,34.36,1. FC Union Berlin
73,F. Honorat,34.34,Borussia Mönchengladbach
74,M. Kim,34.32,FC Bayern München
75,T. Drexler,34.32,TSG Hoffenheim
76,Jan Thielmann,34.30,1. FC Köln
77,S. Bamba,34.28,Borussia Dortmund
78,J. Stanišić,34.27,Bayer 04 Leverkusen
79,Noah Mbamba,34.27,Bayer 04 Leverkusen
80,J. Beste,34.25,1. FC Heidenheim 1846
81,Rubén Vargas,34.24,FC Augsburg
82,M. Finkgräfe,34.22,1. FC Köln
83,P. Pfeiffer,34.20,FC Augsburg
84,D. Jurásek,34.20,TSG Hoffenheim
85,S. Bornauw,34.19,VfL Wolfsburg
86,J. Malatini,34.18,SV Werder Bremen
87,N. Elvedi,34.18,Borussia Mönchengladbach
88,J. Musiala,34.17,FC Bayern München
89,M. Simakan,34.15,RB Leipzig
90,Edmond Tapsoba,34.12,Bayer 04 Leverkusen
91,Nathan Tella,34.12,Bayer 04 Leverkusen
92,L. Netz,34.11,Borussia Mönchengladbach
93,Mikkel Kaufmann,34.11,1. FC Union Berlin
94,C. Günter,34.10,Sport-Club Freiburg
95,V. Černý,34.08,VfL Wolfsburg
96,Cédric Zesiger,34.08,VfL Wolfsburg
97,Jean-Mattéo Bahoya,34.03,Eintracht Frankfurt
98,Brenden Aaronson,34.03,1. FC Union Berlin
99,K. Onisiwo,34.02,1. FSV Mainz 05
100,Omar Traoré,34.01,1. FC Heidenheim 1846
101,D. Ljubicic,33.99,1. FC Köln
102,R. Hack,33.98,Borussia Mönchengladbach
103,B. Gruda,33.97,1. FSV Mainz 05
104,Xavi Simons,33.97,RB Leipzig
105,M. Pieringer,33.93,1. FC Heidenheim 1846
106,F. Alidou,33.92,1. FC Köln
107,Mads Pedersen,33.92,FC Augsburg
108,Romano Schmid,33.91,SV Werder Bremen
109,A. Hložek,33.89,Bayer 04 Leverkusen
110,N. Stark,33.88,SV Werder Bremen
111,A. Schäfer,33.88,1. FC Union Berlin
112,R. Kolo Muani,33.87,Eintracht Frankfurt
113,N. Süle,33.87,Borussia Dortmund
114,Cristian Gamboa,33.87,VfL Bochum 1848
115,E. Millot,33.85,VfB Stuttgart
116,Anton Stach,33.85,1. FSV Mainz 05
117,W. Anton,33.84,VfB Stuttgart
118,M. Wolf,33.83,Borussia Dortmund
119,Stanley Nsoki,33.83,TSG Hoffenheim
120,M. Honsak,33.79,SV Darmstadt 98
121,Joakim Mæhle,33.79,VfL Wolfsburg
122,M. Broschinski,33.78,VfL Bochum 1848
123,Bernardo,33.77,VfL Bochum 1848
124,F. Nürnberger,33.77,SV Darmstadt 98
125,Jadon Sancho,33.76,Borussia Dortmund
126,G. Holtmann,33.75,SV Darmstadt 98
127,H. Ito,33.74,VfB Stuttgart
128,Niels Nkounkou,33.73,Eintracht Frankfurt
129,Jakub Kaminski,33.72,VfL Wolfsburg
130,Kevin Paredes,33.72,VfL Wolfsburg
131,Jessic Ngankam,33.71,Eintracht Frankfurt
132,J. Juranovic,33.71,1. FC Union Berlin
133,P. Lienhart,33.66,Sport-Club Freiburg
134,Rafael Borré,33.63,SV Werder Bremen
135,Robert Gumny,33.60,FC Augsburg
136,D. Huseinbašić,33.59,1. FC Köln
137,Rogério,33.59,VfL Wolfsburg
138,R. Dōan,33.58,Sport-Club Freiburg
139,K. Vogt,33.57,1. FC Union Berlin
140,T. Kleindienst,33.57,1. FC Heidenheim 1846
141,F. Chaibi,33.56,Eintracht Frankfurt
142,L. Höler,33.56,Sport-Club Freiburg
143,Braydon Manu,33.54,SV Darmstadt 98
144,Dawid Kownacki,33.52,SV Werder Bremen
145,Danny da Costa,33.52,1. FSV Mainz 05
146,M. Sabitzer,33.51,Borussia Dortmund
147,Robert Skov,33.48,TSG Hoffenheim
148,J. Hofmann,33.46,Bayer 04 Leverkusen
149,M. Bader,33.43,SV Darmstadt 98
150,Y. Moukoko,33.42,Borussia Dortmund
151,Nelson Weiper,33.42,1. FSV Mainz 05
152,C. Trimmel,33.42,1. FC Union Berlin
153,Irvin Cardona,33.41,FC Augsburg
154,Nico Schlotterbeck,33.40,Borussia Dortmund
155,J. Roussillon,33.40,1. FC Union Berlin
156,T. Werner,33.39,RB Leipzig
157,Robin Koch,33.38,Eintracht Frankfurt
158,L. Stergiou,33.36,VfB Stuttgart
159,Damion Downs,33.36,1. FC Köln
160,Luca Waldschmidt,33.35,1. FC Köln
161,M. Wittek,33.35,VfL Bochum 1848
162,F. Torsiello,33.35,SV Darmstadt 98
163,Hugo Larsson,33.33,Eintracht Frankfurt
164,Nnamdi Collins,33.32,Eintracht Frankfurt
165,R. Carstensen,33.32,1. FC Köln
166,Noah Weißhaupt,33.32,Sport-Club Freiburg
167,A. Král,33.32,1. FC Union Berlin
